longitude,latitude
78.344802,17.457921
78.34338,17.458157
78.342711,17.458268
78.342388,17.456331
78.342054,17.45488
78.341999,17.454766
78.342248,17.454499
78.342678,17.453932
78.342706,17.453897
78.342723,17.453876
78.342899,17.45364
78.343354,17.453079
78.343705,17.452646
78.344007,17.45228
78.34416,17.452132
78.344335,17.451977
78.344744,17.45166
78.34499,17.451493
78.345208,17.451389
78.345558,17.451234
78.346155,17.45097
78.346427,17.450851
78.346532,17.4508
78.346906,17.45061
78.346944,17.45059
78.347325,17.450324
78.347604,17.450088
78.347903,17.449811
78.348208,17.449528
78.348233,17.449506
78.348358,17.449386
78.348538,17.449206
78.348713,17.44903
78.348826,17.448923
78.349229,17.448526
78.349615,17.448146
78.350327,17.447451
78.350642,17.447152
78.35112,17.446677
78.351616,17.446184
78.35198,17.445812
78.352234,17.445556
78.352287,17.445512
78.352316,17.445491
78.352658,17.445224
78.352687,17.445202
78.352734,17.445163
78.35275,17.445149
78.352821,17.44509
78.352915,17.445016
78.352946,17.444992
78.352962,17.444979
78.352987,17.444958
78.353451,17.444584
78.35368,17.444405
78.353776,17.44433
78.353804,17.444308
78.353838,17.444281
78.354017,17.444141
78.354039,17.444124
78.354156,17.444032
78.35417,17.444022
78.354406,17.443837
78.354457,17.443796
78.354546,17.443727
78.354623,17.443673
78.354652,17.443653
78.354774,17.443568
78.354867,17.443518
78.354976,17.443459
78.355406,17.443272
78.355468,17.443248
78.35645,17.44283
78.356746,17.442704
78.356801,17.44268
78.357016,17.442586
78.357032,17.442579
78.357272,17.442472
78.357837,17.442237
78.357881,17.442219
78.358108,17.442127
78.358536,17.441931
78.358718,17.441848
78.358799,17.441811
78.359214,17.441611
78.359338,17.44155
78.359693,17.441349
78.359842,17.441259
78.360018,17.441152
78.360206,17.441037
78.36083,17.440654
78.360931,17.440592
78.361143,17.44054
78.361397,17.440379
78.361433,17.440358
78.361529,17.44029
78.361962,17.440026
78.361975,17.440018
78.362087,17.43995
78.36299,17.43935
78.363126,17.439264
78.363336,17.43913
78.363527,17.439001
78.363595,17.438948
78.363673,17.438861
78.363729,17.43887
78.363779,17.438867
78.363828,17.438853
78.363872,17.43883
78.363909,17.438797
78.363938,17.438758
78.363961,17.4387
78.364139,17.438586
78.364204,17.438541
78.364384,17.438384
78.364608,17.438199
78.364664,17.438156
78.365035,17.437854
78.365166,17.437747
78.365297,17.43764
78.365343,17.437603
78.365493,17.43748
78.365918,17.437134
78.366513,17.436637
78.366784,17.436384
78.366944,17.436239
78.367284,17.43593
78.367372,17.435851
78.36788,17.435349
78.368111,17.435139
78.368231,17.435015
78.368489,17.434755
78.368648,17.434508
78.368868,17.434274
78.369108,17.434019
78.369206,17.433914
78.369417,17.433677
78.369798,17.433286
78.370523,17.432532
